Inhibitory,Terminal_differentiation,Exhaustion,Activation_Dysfunction,Cell_stress,Pro_inflammatory,Anti_inflammatory
BATF,TIGIT,CD3E,ALDOA,BAG3,IL1A,TIGIT
BCL6,PDCD1,PDCD1,ANKRD52,BLOC1S5-TXNDC5,IL1B,IDO1
BTLA,CD274,IL2RA,B3GNT2,CALU,TNF,LGALS3
CD160,CTLA4,CD69,BCL3,DNAJB1,IFNG,PDCD1
CD244,LAG3,ICOS,BCL6,DUSP1,TBX21,FOXP3
CTLA4,HAVCR2,CD24,BRAP,EGR1,CCL3,ENTPD1
GATA3,CD244,TNFRSF4,C6orf89,FOS,CCL4,CD274
HAVCR2,CD160,TNFRSF9,CABLES1,FOSB,PRF1,CSF2
HIF1A,,CD28,CACNB3,HIF1A,GZMA,CTLA4
ID2,,CD27,CAMK2D,HSP90AA1,GZMB,CXCL12
ID3,,,CCNG2,HSP90AB1,GZMK,CXCL5
IRF4,,,CCR7,HSP90AB2P,GZMH,CXCL8
KLRG1,,,CD19,HSP90AB3P,CD8A,MIF
LAG3,,,CD5,HSP90B1,FASLG,PTGS2
NFATC1,,,CD74,HSPA1A,CCL2,VEGFA
PDCD1,,,CERK,HSPA1B,CCL20,
PRDM1,,,CLN6,HSPA6,IL2,
TIGIT,,,CRTC3,HSPB1,IL6,
TNFRSF14,,,CSNK1D,HSPH1,IL12a,
TOX,,,DTWD1,IER2,IL17a,
,,,EIF3F,JUN,IL23a,
,,,EIF3F,JUNB,PTGS2,
,,,EML4,NFKBIA,TLR4,
,,,FAM168B,NFKBIZ,TNF,
,,,FAS,RGS2,,
,,,FASN,SLC2A3,,
,,,FBXL20,SOCS3,,
,,,FOXO1,UBC,,
,,,FRRS1,ZFAND2A,,
,,,GATA3,ZFP36,,
,,,GNA13,ZFP36L1,,
,,,GPR132,,,
,,,GPR35,,,
,,,GRASP,,,
,,,IER5,,,
,,,IFI30,,,
,,,IFT80,,,
,,,IKZF2,,,
,,,IL2RG,,,
,,,INSYN2B,,,
,,,ISCU,,,
,,,ISCU,,,
,,,ITGAE,,,
,,,JAK2,,,
,,,KDM4B,,,
,,,KDM5B,,,
,,,KLF3,,,
,,,LATS2,,,
,,,LGMN,,,
,,,MAP2K7,,,
,,,MKRN1,,,
,,,MTMR3,,,
,,,MYB,,,
,,,NDUFV1,,,
,,,NOTCH2,,,
,,,NPEPPS,,,
,,,NR4A1,,,
,,,NSMCE1,,,
,,,OSBPL11,,,
,,,PARP3,,,
,,,PCGF5,,,
,,,PHC2,,,
,,,PIAS2,,,
,,,PIGH,,,
,,,PIM3,,,
,,,PINK1,,,
,,,PIP4P1,,,
,,,PNRC1,,,
,,,POU2AF1,,,
,,,QRICH1,,,
,,,RAB2A,,,
,,,RARA,,,
,,,RASGEF1B,,,
,,,RASSF2,,,
,,,RELB,,,
,,,RNF149,,,
,,,SCIN,,,
,,,SEC24B,,,
,,,SGPP1,,,
,,,SH2B3,,,
,,,SLAMF6,,,
,,,SLAMF7,,,
,,,SLC25A33,,,
,,,SLC28A2,,,
,,,SLC2A6,,,
,,,SNTB1,,,
,,,SNX18,,,
,,,SPI1,,,
,,,SPRY1,,,
,,,SWAP70,,,
,,,TBC1D22B,,,
,,,TMEM243,,,
,,,TNIP1,,,
,,,TRAT1,,,
,,,TUBB2B,,,
,,,UTP15,,,
,,,WTAP,,,
,,,YPEL3,,,
,,,ZFP62,,,
